data;^SP500TR;AEE;AEP;CNP;D;ED;EIX;ES;ETR;EXC;FE;HE;IDA;NEE;NWE;OGE;PCG;PEG;PNW;PPL
2022-07-11;0,99089530;1,00000000;1,00932818;1,00817144;0,99773263;1,01554862;0,98543298;1,00408057;1,00027228;0,99864528;1,00915688;0,99600910;1,00342916;0,98080996;1,00791689;1,04401584;1,00486849;0,96942035;0,99816537;1,01287686
2022-07-18;1,02565024;0,99635340;0,99086303;1,00303961;0,97664091;0,98972143;0,99626370;1,00478125;0,99318939;0,99525230;1,02268505;0,99549208;1,00617055;1,01956551;0,95130044;0,98242032;1,03003889;0,99256817;0,99293174;0,99273526
2022-07-25;1,04283271;1,06508028;1,04462148;1,06700347;1,05985811;1,07388589;1,10500579;1,04948841;1,05266512;1,05611071;1,07254682;1,06415096;1,05406168;1,05283481;1,01743117;1,06535250;1,02163685;1,09267861;1,04598524;1,06403206
2022-08-01;1,00385090;0,98045535;1,00913130;0,99305777;1,00719680;0,97904703;1,00723033;1,02448432;1,02267027;0,96300274;0,93357639;1,00520088;0,98003939;1,04130689;0,98286747;0,97979561;1,02578252;0,98583838;1,03852051;0,96526838
2022-08-08;1,03309641;1,03866402;1,04343450;1,03272940;1,00314908;1,01975497;1,03647824;1,03020573;1,02777297;1,03127103;1,07475095;1,01763885;1,04622294;1,02830188;1,02587166;1,04248452;1,08886908;1,04433113;1,02519239;1,07908777
2022-08-15;0,98836783;1,02657366;1,01912031;1,00461548;1,03368332;1,01452947;1,01116613;1,00558474;1,01384203;1,00679655;1,01077706;0,98798230;1,01353498;0,99159940;1,00679663;1,01954237;1,00000000;1,02647552;1,00827721;1,01716763
2022-08-22;0,95978575;0,97370313;0,97026874;0,97779593;0,97033398;0,98769070;0,96826924;0,97831885;0,97796944;0,96900741;0,97383043;0,94647967;0,96644104;0,98160737;0,98507717;0,97007948;1,02885413;0,96095099;0,97383284;0,96689388
2022-08-29;0,96768752;0,98037777;0,99283061;1,00094507;0,98495417;0,99949261;0,98108865;0,97762019;0,97688502;0,98590906;0,99303324;0,97234676;0,97927327;0,96649998;0,96176732;0,97975927;1,00560901;0,95981409;0,98656474;0,97146684
2022-09-05;1,03676394;1,02883873;1,03580953;1,03366877;1,02462045;1,02406590;1,01677456;1,02322733;1,03200829;1,03992758;1,04009031;1,02459652;1,01759191;1,06140272;1,03506500;1,02926669;1,02709167;1,06233419;1,02857135;1,03144436
2022-09-12;0,95269447;0,96554868;0,95845661;0,97534268;0,97186203;0,96588982;0,97713448;0,96911506;0,96231446;0,94262659;0,99253172;0,95673921;0,97929052;0,94315901;0,97210127;0,97753904;1,01474006;0,98378407;0,95573751;0,97626763
2022-09-19;0,95365291;0,97111079;0,97389422;0,98501867;0,96201405;0,98008423;0,96060449;0,97804038;0,96681687;0,96435984;0,97208751;0,98013584;0,99678200;0,97322812;0,99365511;0,97580064;0,96406717;0,94846269;0,96794777;0,97337501
2022-09-26;0,97116698;0,90424346;0,88448942;0,89290231;0,88887462;0,89829273;0,87234037;0,90419577;0,90178345;0,89896812;0,92384519;0,92426667;0,91329204;0,95019390;0,93510439;0,91332657;0,99127693;0,89339077;0,90514945;0,90053270
2022-10-03;1,01555934;0,95543148;0,95997672;0,95138411;0,93170296;0,95125918;1,04819958;0,95241164;1,00596211;0,98665231;0,97567562;0,97403348;0,97293203;0,97857430;1,01075485;0,94459675;1,19439999;0,98381631;0,94527979;0,97356996
2022-10-10;0,98465963;0,99077435;1,00638633;0,96531131;0,99875758;1,00404513;0,93859794;0,97723900;0,98794829;0,98998927;1,00193914;1,01392190;0,98390946;0,93535760;1,01365192;0,99168836;0,92632277;0,97270424;1,01328313;0,99270672
